id,name,email,password
1,Prime Services,primeservices@example.com,prime-pass
2,Acme Corporation,acmecorporation@example.com,acme-pass
3,Vertex Technologies,vertextechnologies@example.com,vertex-pass
4,Nexus Systems,nexussystems@example.com,nexus-pass
5,Elite Enterprises 1,eliteenterprises1@example.com,elite-pass
6,Pinnacle Systems 1,pinnaclesystems1@example.com,pinnacle-pass
7,Tech Innovations,techinnovations@example.com,tech-pass
8,Titan Enterprises,titanenterprises@example.com,titan-pass
9,Catalyst Corp,catalystcorp@example.com,catalyst-pass
10,Global Solutions Inc,globalsolutionsinc@example.com,global-pass
